,date,week,red,blue,sales,poolmoney,content,prizegrades1num,prizegrades1money,prizegrades2num,prizegrades2money,prizegrades3num,prizegrades3money,prizegrades4num,prizegrades4money,prizegrades5num,prizegrades5money,prizegrades6num,prizegrades6money
2013001,2013-01-01(二),二,"06,08,14,15,24,25",06,309153922,30000000,"河北1注,山西1注,上海2注,江苏1注,浙江1注,山东3注,湖南1注,广东7注,广西1注,四川1注,云南1注,共20注。",20,5250000（含加奖250000）,271,71485,2102,3000,86580,200,1412922,10,9831878,5
2013002,2013-01-03(四),四,"01,16,18,22,28,30",12,303822912,61810900,"辽宁1注,浙江1注,福建1注,陕西1注,共4注。",4,6250000（含加奖1250000）,63,352455,1065,3000,57348,200,1069854,10,9898902,5
2013003,2013-01-06(日),日,"22,23,26,27,28,33",09,367773688,98882604,"江西1注,湖北1注,四川1注,青海1注,共4注。",4,6250000（含加奖1250000）,90,271770,1175,3000,60772,200,1185339,10,14229062,5
2013004,2013-01-08(二),二,"06,10,16,20,27,32",08,337097616,35567995,"天津1注,内蒙古1注,辽宁1注,黑龙江5注,江苏1注,山东3注,湖北1注,海南2注,陕西1注,深圳1注,共17注。",17,5294117（含加奖294117）,152,61143,2811,3000,113204,200,1683406,10,17258164,5
2013005,2013-01-10(四),四,"01,13,14,25,31,32",12,339352226,49335143,"河北1注,山西1注,内蒙古2注,江苏1注,浙江3注,广东2注,宁夏1注,共11注。",11,5454545（含加奖454545）,117,251894,1354,3000,64619,200,1208188,10,7795223,5
2013006,2013-01-13(日),日,"09,10,13,17,22,30",13,374366198,82757304,"河北1注,山西1注,内蒙古1注,浙江2注,福建1注,河南1注,广东1注,共8注。",8,5625000（含加奖625000）,178,176778,1334,3000,71365,200,1367177,10,9320773,5
2013007,2013-01-15(二),二,"02,09,15,22,26,32",01,341246158,151606540,"广东1注,新疆1注,共2注。",2,7500000（含加奖2500000）,148,228327,827,3000,48103,200,981846,10,6529758,5
2013008,2013-01-17(四),四,"03,08,17,21,25,32",15,341795384,170217234,"辽宁1注,吉林1注,江苏1注,广东2注,深圳1注,共6注。",6,8240712,311,93782,1478,3000,77997,200,1425465,10,7194060,5
2013009,2013-01-20(日),日,"01,04,09,13,16,23",02,383674016,195572596,"上海1注,福建1注,山东1注,云南1注,共4注。",4,9535536,100,272132,1499,3000,79465,200,1476369,10,12427170,5
2013010,2013-01-22(二),二,"01,09,11,17,32,33",12,347709230,224151420,"吉林5注,共5注。",5,9286306,74,434422,1054,3000,51499,200,1029207,10,7893200,5
2013011,2013-01-24(四),四,"03,12,17,24,27,29",09,350274074,199912372,"天津1注,河北1注,山西1注,内蒙古1注,辽宁3注,浙江1注,山东1注,广东2注,共11注。",11,6118580,113,163332,2231,3000,100181,200,1706219,10,13264200,5
2013012,2013-01-27(日),日,"06,14,17,22,28,29",02,389114476,260734911,"福建1注,广东1注,云南1注,共3注。",3,10000000,144,270305,986,3000,60828,200,1295443,10,6568315,5
2013013,2013-01-29(二),二,"05,06,13,19,22,28",09,351745408,211416895,"河北2注,辽宁1注,吉林1注,江苏1注,福建1注,河南2注,湖北1注,湖南2注,四川1注,陕西1注,青海1注,宁夏3注,深圳2注,共19注。",19,5961726,259,105827,1799,3000,93409,200,1622643,10,8137205,5
2013014,2013-01-31(四),四,"02,04,05,17,19,20",08,348187310,150729380,"河北1注,辽宁10注,福建1注,河南5注,广西1注,甘肃2注,共20注。",20,5786249,235,100372,1647,3000,82204,200,1461037,10,11198928,5
2013015,2013-02-03(日),日,"05,06,07,11,13,18",15,377989410,202682481,"内蒙古1注,河南2注,共3注。",3,10000000,158,222295,1175,3000,63967,200,1311322,10,7741465,5
2013016,2013-02-05(二),二,"02,05,06,12,14,28",05,327207104,165350088,"河北1注,吉林1注,黑龙江1注,上海1注,江苏1注,浙江2注,福建1注,湖南2注,陕西1注,青海1注,共12注。",12,5755587,99,137379,1954,3000,92741,200,1546034,10,15025141,5
2013017,2013-02-07(四),四,"04,06,12,30,31,32",09,339247106,198644874,"河北2注,福建1注,共3注。",3,10000000,93,291681,1050,3000,53120,200,1053101,10,10300989,5
2013018,2013-02-17(日),日,"02,08,13,28,29,30",05,364752666,193557090,"北京1注,辽宁1注,江苏1注,安徽1注,湖北2注,广东1注,四川1注,陕西1注,新疆1注,共10注。",10,6796488,273,98708,2226,3000,104280,200,1751789,10,8770494,5
2013019,2013-02-19(二),二,"01,02,05,16,20,26",06,316958200,207401535,"河北1注,山西1注,内蒙古1注,辽宁1注,湖南1注,共5注。",5,8107555,93,250609,1186,3000,59157,200,1076888,10,10292468,5
2013020,2013-02-21(四),四,"01,07,08,12,16,21",01,337611102,233771560,"黑龙江1注,浙江1注,湖北1注,湖南2注,共5注。",5,9109602,145,212565,1167,3000,61364,200,1185046,10,7013025,5
2013021,2013-02-24(日),日,"01,06,17,19,26,31",11,386291388,239758883,"天津1注,河北1注,山西1注,内蒙古1注,浙江1注,河南1注,湖南1注,共7注。",7,7342133,104,236465,1477,3000,73650,200,1351421,10,14926583,5
2013022,2013-02-26(二),二,"02,04,07,09,15,20",07,349104140,238299864,"河北2注,内蒙古1注,江西1注,湖南1注,贵州1注,共6注。",6,6902732,79,216766,1799,3000,85414,200,1526043,10,15247766,5
2013023,2013-02-28(四),四,"03,06,15,18,30,32",05,359844386,271259788,"安徽1注,重庆1注,贵州1注,云南1注,共4注。",4,10000000,145,215645,1196,3000,67541,200,1355164,10,8289489,5
