,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
0,高级爬虫工程师,/job_detail/17a37b817de5a0301XZ709y_GVFX.html,广州·天河区·跑马场,18-35K,5-10年,本科,谷仓,/gongsi/0ece157fa53548a01XR72dW8E1o~.html,数据服务,天使轮,20-99人,"['网络爬虫技术', '搜索引擎技术', '图形图像处理', 'Scrapy', '爬虫', 'python']",节日福利，加班补助，股票期权，零食下午茶，带薪年假，双休，全勤奖，员工旅游，年终奖
1,高级/资深爬虫工程师,/job_detail/914019a5c2092bb21nx_09u1E1NU.html,广州·番禺区·大学城,20-35K·14薪,5-10年,本科,探迹,/gongsi/8dda792e8b6182601HR72dq5.html,互联网,B轮,1000-9999人,"['网络爬虫技术', '爬虫', 'Scrapy']",餐补，员工旅游，带薪年假，定期团建，五险一金，零食下午茶，全勤奖，节日福利，加班补助，通讯补贴，股票期权，年终奖，定期体检，补充医疗保险
2,爬虫工程师,/job_detail/fb5048e8af2bbbbe1XVy0t28FFJY.html,广州·天河区·龙口,8-9K,1-3年,本科,太原瑞和丰科技,/gongsi/9c3dfdfc543111941XRy39m7GVo~.html,计算机服务,,0-20人,"['机器学习工程经验', '爬虫', 'MySQL', '英语读写能力良好', 'Python']",
3,爬虫工程师,/job_detail/84183657348cdca01nJ_0t-4GFFY.html,广州,20-30K·14薪,3-5年,本科,数说故事,/gongsi/2da27d046163a2b803N90t67.html,互联网,C轮,500-999人,"['js逆向', 'js反混淆', 'frida', 'xposed', 'jad', 'app逆向', '爬虫', '数据采集']",节日福利，年终奖，五险一金，零食下午茶，员工旅游，带薪年假，定期体检
4,数据爬虫工程师（双休+高新+地铁周边）,/job_detail/87327f256992e0151n1_0tu4FFZR.html,广州·天河区·燕岭,13-18K,3-5年,本科,万晟,/gongsi/31911c880fc141a91nZ60tm1EVE~.html,咨询,未融资,20-99人,"['爬虫', '数据爬虫', '爬虫框架', '网络爬虫', '网络爬虫技术', '分布式技术']",通讯补贴，交通补助，零食下午茶，餐补，住房补贴，员工旅游，全勤奖，五险，节日福利，定期体检，带薪年假，年终奖
5,高级爬虫工程师,/job_detail/945391048ca2607f1XV93928GVFS.html,广州·番禺区·万达,25-40K·13薪,3-5年,大专,Lete,/gongsi/a97a5c271bd5a9071HJ-2ti6.html,电子商务,不需要融资,20-99人,"['Python', '网络爬虫技术', '逆向', '爬虫', '数据平台']",员工旅游，加班补助，五险一金，带薪年假，年终奖，零食下午茶，节日福利
6,数据工程师（爬虫）,/job_detail/02c4d507af69d8cd1XZ62tu1EFtY.html,广州·番禺区·大学城,15-25K·14薪,3-5年,本科,寻星网络,/gongsi/60a9e1ad9ebd19691XR909-4GFY~.html,互联网,,1000-9999人,"['Python', '大数据', '爬虫', '分布式']",
7,高级爬虫开发工程师,/job_detail/e1b21a4a4d9fddc61XVy3ty-FlBR.html,广州·天河区·小新塘,20-30K,5-10年,本科,博纳德,/gongsi/59640204404693df1n1z2t6-EVU~.html,互联网,,500-999人,"['高级软件工程师', '爬虫']",
8,爬虫逆向师,/job_detail/3bf6550f34a916b41nR52t6_FFBT.html,广州·白云区·广园路,15-20K,5-10年,大专,广东栖游记,/gongsi/91963854e7f01d0d3nB_2Nq8.html,旅游,不需要融资,100-499人,"['Java', '汇编语言', '爬虫', '逆向']",五险一金，销售精英奖，年度优秀员工，员工旅游，零食下午茶，年终奖，节日福利，全勤奖，提供住宿，带薪年假
9,python后端,/job_detail/dc96a4d998bacfc61n152NW6FlZT.html,广州·黄埔区·高唐,15-25K,1-3年,本科,凯森网络,/gongsi/68efdc950879b3c81n1_0926FVQ~.html,游戏,,0-20人,"['Linux', 'Redis', 'Django', 'Flask', 'Tornado']",节日福利，带薪年假，加班补助，五险一金，年终奖，员工旅游，零食下午茶
10,爬虫开发工程师,/job_detail/aedc19b6c8a3baca1nV709S1E1dX.html,广州·海珠区·赤岗,5-10K,1-3年,本科,超级课程表,/gongsi/caa1d9ba400fe4871XZ42N61.html,移动互联网,B轮,20-99人,"['JavaScript', 'Java', '网络爬虫技术', 'Python', '爬虫']",零食下午茶，年终奖，定期体检，节日福利，交通补助，全勤奖，五险一金，员工旅游，带薪年假
11,高级爬虫工程师,/job_detail/e3e93ccbe0ffecf21XR43di9EFFR.html,广州·荔湾区·陈家祠,15-20K·14薪,1-3年,本科,绿盟科技,/gongsi/56fcc3e5c3f3939d1Xd929q4.html,信息安全,已上市,1000-9999人,"['网络爬虫技术', 'Scrapy', 'Redis', 'python', 'selenium', 'pyppeteer', '爬虫', '反爬']",加班补助，年假递增，节日福利，年终奖，餐补，五险一金，员工旅游，定期体检，补充医疗保险，股票期权，通讯补贴，带薪年假
12,爬虫工程师,/job_detail/c411fcd31223d2d91XR83ti9EVpW.html,广州·海珠区·琶洲,13-23K,3-5年,本科,摩航时代,/gongsi/c6fc1749530f1c070HZ-0924FA~~.html,互联网,不需要融资,100-499人,"['Java', 'Python', '网络爬虫技术', '分布式技术', 'NoSQL', 'MySQL', 'Redis', 'MongoDB']",定期体检，周末双休，股票期权，五险一金，零食下午茶，带薪年假，员工旅游，全勤奖，节日福利，包吃，年终奖
