,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
0,数据分析师,/job_detail/0f66998598220d0f1XV-3tm1EVBQ.html,武汉·江夏区·关山,18-35K,5-10年,本科,绿盟科技,/gongsi/56fcc3e5c3f3939d1Xd929q4.html,信息安全,已上市,1000-9999人,"['Python', '数据', '分析师']",年终奖，节日福利，员工旅游，带薪年假，定期体检，餐补，通讯补贴，补充医疗保险，股票期权，加班补助，五险一金，年假递增
1,数据分析师,/job_detail/3442b39b4927902f1nR72dy4FVFV.html,武汉·江夏区·光谷,8-10K·13薪,3-5年,本科,武汉海云健康科技...,/gongsi/0bd21660933bdb471XB529i-Eg~~.html,医疗健康,A轮,100-499人,"['数据分析', '数据挖掘', '网络爬虫技术', 'Excel', 'SPSS', 'Tableau', 'BI', '大数据']",加班补助，带薪年假，节日福利，股票期权，零食下午茶，年终奖，补充医疗保险，五险一金
2,数据分析师,/job_detail/751f7111128920511nBz29S9GVVQ.html,武汉·江夏区·光谷,8-13K·13薪,3-5年,本科,乐薇,/gongsi/b4a54ca2d13eb3d81HB-2du7.html,互联网,未融资,100-499人,"['SQL', 'Python', 'Excel', 'Tableau', 'Hive', '数据分析', '大数据']",五险一金，节日福利，零食下午茶，年终奖，员工旅游，带薪年假
3,数据分析师,/job_detail/29c52f9a8ce797221XR43Ni4EFpQ.html,武汉·洪山区·光谷,8-13K,1-3年,本科,Finger Art,/gongsi/fc994c9b02cec9543ndz2ti1Fg~~.html,游戏,不需要融资,100-499人,"['数据分析', '数据挖掘']",五险一金，餐补，员工旅游，节日福利，年终奖，定期体检，补充医疗保险，零食下午茶，交通补助，带薪年假
4,数据分析师,/job_detail/803587ad69031e1e0Hd_3Ni7FVo~.html,武汉,5-10K,经验不限,本科,武汉众娱,/gongsi/bf7c3b6f50d8e6061nx73t-4.html,游戏,不需要融资,100-499人,"['数据分析', '数据挖掘', '商业分析']",全勤奖，员工旅游，五险一金，年终奖，带薪年假，节日福利，股票期权，定期体检，零食下午茶
5,数据分析师,/job_detail/0bab76bd60ad8d9e1nV539m-E1dW.html,武汉,7-12K,1-3年,本科,天喻教育,/gongsi/1dda4cfabeee26081X182dk~.html,在线教育,已上市,1000-9999人,"['数据分析', 'SQL', 'Tableau', 'Excel', 'Power BI', '教师', '数据运营']",电脑笔记补贴，股票期权，带薪年假，节日福利，餐补，员工关爱基金，驻外津贴，年终奖，免费班车，五险一金，交通补助，免费中餐，通讯补贴
6,数据分析师,/job_detail/64f95726d22b7cf633x93N25FVM~.html,武汉·江夏区·藏龙岛,5-8K,经验不限学历,不限,百奥维凡,/gongsi/1d85fbd4955e23ca0nF4392_Fw~~.html,其他专业服务,,0-20人,"['数据挖掘', '数据分析', 'Python', 'Java', 'Shell', 'C#', 'Perl', 'R']",
7,数据分析师,/job_detail/bbe53d67ee42c2721XVy3N-4GFFY.html,武汉·洪山区·光谷,20-40K·15薪,3-5年,本科,斗鱼,/gongsi/9459ad5584af2d781Xd42Nq6.html,互联网,已上市,1000-9999人,"['数据分析', '数据挖掘', '商业分析']",节日福利，年终奖，零食下午茶，餐补，补充医疗保险，定期体检，股票期权，带薪年假，五险一金
8,助理数据分析师,/job_detail/b80ad88fad5193fb1nF_3Nu9FVtV.html,武汉,6-10K·14薪,1-3年,本科,北京思迈特,/gongsi/0c6c8f6160f32fce1nB42Nu6GVQ~.html,互联网,不需要融资,20-99人,"['SQL', 'Python', 'Excel', '数据分析']",定期体检，年终奖，员工旅游，超长年假，带薪年假，零食下午茶，餐补，包吃，节日福利，五险一金，交通补助
9,水文数据分析师,/job_detail/5003118ba40462401XR-2t-5F1pR.html,武汉·武昌区·街道口,7-12K·14薪,经验不限,本科,大水云科技,/gongsi/7b85ca6074dab7693nR72dy_Eg~~.html,电力/热力/燃气/水利,未融资,100-499人,['数据分析'],员工旅游，带薪年假，加班补助，年终奖，节日福利，定期体检，五险一金
