,工作标题,薪资,城市,地区,年限,学历,职限,职位详情,具体地点,公司名字,公司情况,职位标签,公司标签
0,数据分析师,13k-20k,广州,五山,1-3年,本科,全职,"任职要求： 
1、熟悉ETL流程，数据抽取，数据报表都会涉及； 
2、熟悉linux shell script，主要是tableau报表工具； 
3、粤语起码会听；英文读写可以适应即可，有留学经验英文听说流利是加分项； 
",广州-天河区-壬丰大厦37楼,CLPS,软件服务｜咨询 / 上市公司 / 500-2000人,"['科技金融', '金融业', 'SQL', 'Shell', 'Linux']",“周末双休/六险一金/年终奖金/外企平台”
1,数据分析师,12k-18k,广州,新港,3-5年,本科,全职,"工作职责：
1、负责APP相关数据分析，包括数据平台建设、人群画像和数据标签完善、日常数据分析和专题分析；
2、验证产品上线数据及策略效果，评估策略可行性，通过数据寻找优化空间，挖掘增长点；
3、定期对行业、自身产品及竞品等数据分析和评估，提出产品优化建议和运营建议。

任职要求：
1、本科及以上学历，数学、统计等相关专业优先,三年以上互联网数据分析、商业分析经验；
2、扎实的数理统计理论基础，有推荐系统、人群分类、用户标签，用户增长等项目经验优先，有直播社交行业数据分析经验者优先；
3、能熟练使用EXCEL进行数据处理，熟练掌握SQL，有spark/presto/hive使用经验者优先考虑；
4、自我驱动力强，追求卓越，工作细致、具备较强的学习能力及业务理解能力。 ",广州-海珠区-映客,北京蜜莱坞网络科技有限公司,MCN｜直播平台 / 上市公司 / 500-2000人,"['社交平台', 'MCN｜直播平台', 'SQL', 'Spark']",“团队实力强，发展前景好”
2,数据分析师,10k-20k,广州,五羊新城,3-5年,本科,全职,"岗位职责： 
1、对接业务部门，开展数据分析工作，基于数据分析成果，为业务部门提供策略分析和业务优化建议，持续改进运营效果； 
2、了解公司业务，建设数据指标埋点及评价体系，输出数据报告； 
3、协助完成部分ETL工作，完善数据仓库的数据完整性、可用性； 
4、协助产品经理根据数据需求制定用户行为的埋点方案，并验证埋点数据的准确性。 

任职资格： 
1、数学、统计学、计算机软件等相关专业本科或以上学历； 
2、3-5年及以上的数据分析相关工作经验； 
3、熟悉使用SQL，熟悉hive等大数据平台和熟悉 Java Scala 优先； 
4、较强的数据敏感性、优秀的逻辑分析和沟通表达能力、良好的逻辑思维能力和抗压能力； 
5、有新闻推荐系统开发经验者优先；",广州-越秀区-州市广州大道中289号,南方报业,文化传媒 / 不需要融资 / 2000人以上,"['文化传媒', '内容资讯', 'JAVA', 'SQL', 'Scala']",“环境佳、平台大、机会多”
3,数据分析师,9k-15k,广州,番禺区,1-3年,本科,全职,"岗位职责： 
1.分析商品在开发、生产、销售、售后等各环节数据，监控kpi；并为企划PM提供数据分析报表底表，框架搭建； 
2.跟进重点项目，独立承担商品进销存领域的专项分析，为商品企划提供业务诊断和决策支持； 
3.以商品端为出发点，为增长指明方向。 

任职资格： 
1.***本科及以上学历，1-2年数据、BI工作经验；计算机、统计、数学等理工科相关专业优先； 
2.非常熟练使用Tableau工具，熟悉SQL语言、熟悉分布式的工作环境，； 
3.良好的数据敏感度，及时发现和分析数据中隐含的变化和问题； 
4.良好的商业敏感度，能够很好地把分析结果转化成业务决策； 
5.善于沟通、执行力强； 
6.有零售、电商背景优先。",广州-番禺区-广州市番禺区南村镇南草堂金坑广兴红棉路6号,SHEIN,电商平台 / C轮 / 2000人以上,"['电商平台', 'SQL']",“发展前景大”
4,数据分析师,8k-15k,广州,珠江新城,1年以下,本科,全职,"岗位职责：我们需要您：1、快速熟悉公司业务和产品逻辑，为需求部门优化和增长提供数据支持；2、对业务过程数据、用户行为数据（埋点相关）进行分析和整理，输出有价值、可量化、供决策参考的报告；3、推动数据分析落地到具体运营场景，协助目标达成；4、能结合业务发展，进行数据探索，深入挖掘影响业务发展的指标并进行分析，找出能改善业务的因素；任职要求：1.计算机、数学、统计、信息管理等相关专业，本科及以上学历;2、熟练掌握 Excel，SQL 的使用，掌握 Python，熟悉各类数据后台，有开发自动化报表经验，有编程经验及机器学习算法经验是加分项了；3、良好的数据敏感度，能从海量数据提炼核心结果，能够以客观的数据和严谨的分析过程，形成可靠的分析结论及建议;4、具备较强的业务需求分析思维能力和优秀的数据思维逻辑及敏感度，能将分析产出进行有效沟通。 
",广州-天河区-高德置地春广场A座3203,优路,不限 / A轮 / 15-50人,"['游戏', '工具类产品', 'Python']",“海外项目团队、六险一金、双休”
5,数据分析师,8k-12k,广州,五山,1-3年,大专,全职,"岗位职责：1、负责数据需求调研，数据的搜集、整理、提取、分配、统计、分析、预测、报告、挖掘和建模等；
2、结合数据分析结果及对需求的深入理解，辅助部门和高层做出正确的市场决策，提升ROI ；
3、具有良好的分析报告撰写能力，并能熟练运用图表有效表达分析。定期制作分析报告，及时与部门讨论分析，做好数据支持和有效指引。
4、提供业务和运营部门的统计报表数据支持。

任职要求：
1、数学、统计学或计算机相关专业专科以上学历，
",广州-天河区-林和西路161号中泰国际广场A座2801-05、06单元,建顺信息,"软件服务｜咨询,物流平台 / B轮 / 50-150人","['物流平台', '电商平台', 'SQL Server', '数据挖掘']",“弹性工作 五险一金 员工旅游 年终奖金”
6,数据分析师,15k-30k,广州,珠江新城,1-3年,本科,全职,职责描述：1.建设基于电销场景的业务全链路实时监控看板、可视化数据驾驶舱以及自动预警机制（1）BI数据信息清洗，及时准确提供各类销售报表，并对于输出信息不断优化（2）管理基础信息及共享平台的日常运维，发现异常及时反馈并沟通解决；进行月、季、年的分析总结，并反馈给内部各协助部门（3）跟进业务现状定期制定相应应对计划（4）销售大数据分析，从数据背后发掘业务待优化和提升点2、数据运维监控（1）根据具体业务需要，针对业务运营数据进行分析和深度挖掘，提供有价值的专项分析报告（2）针对业务的属性和模式，有效监控关键指标，及时发现数据问题3、数据运维优化，对店铺运营提出创新的分析观点（1）根据业务部门数据分析、统计工作，搭建电商数据分析指标体系及报表体系，及时优化（2）理解业务方向和战略，建立分析模型，为业务运营提供决策支持4、完成上级安排的需求工作任职要求：1. *****本科及以上学历，数学、统计、计算机、金融等相关专业；211或985优先2. 有2年以上数据分析或BI工作经验，信用卡行业经验优先；3. 至少精通SQL/power bi/Python/SAS其中之一，并能运用上述工具独立完成数据分析工作；4. 精通常用的数据分析方法，能快速的构建问题框架和分析框架；5. 良好的沟通能力和团队协助能力； ,广州-天河区-南岳大厦,广发银行信用卡中心,金融业 / 不需要融资 / 2000人以上,"['电商平台', '金融业', 'Python', 'PL/SQL', 'PowerBuider']",“大平台、大团队”
7,高级数据分析师 (MJ000323),15k-25k,广州,天河区,3-5年,本科,全职,"本岗位能力/硬技能要求：SQL性能优化经验/意识、业务数据分析思维、需求梳理、项目管理、口径澄清 

1、对搜款网产品运营数据进行分析、监测、统计，参与数据体系搭建； 
2、负责为产品运营提供数据分析支持，包含但不限于产品分析、用户分析、运营分析等，并根据分析结果提出可落地的策略建议； 
3、搭建业务转化漏斗，通过对用户行为深入分析，发现用户增长关键因素，联合产品、研发、运营等团队寻找提升用户成长方案，推动落地并评估效果； 
任职资格 
1、**本科及以上学历，3 年以上数据分析或数据挖掘经验； 
2、较强的统计学基础，了解基本的数据分析方法与模型，统计、数学、计算机等相关专业优先； 
3、优秀的数据处理能力，熟练掌握SQL，具备相应的SQl性能优化经验及意识，精通 excel，掌握 Python/R 尤佳； 
4、敏锐的数据洞察力，良好的业务理解力； 
5、能独立完成从数据提取到模型构建，部门沟通到输出分析报告，提出并解决具体的业务问题。 

【福利待遇】 
1、基本工资+丰厚年终奖（最高16薪）+季度评选奖项及奖金，薪资高于同行业平均水平； 
2、六险一金：除五险一金外，还为员工提供了补充医疗保险，入职即购买； 
3、试用期3~6个月，试用期工资不打折，转正后享受带薪年假、带薪病假，公司定期安排年度体检福利； 
4、双休，弹性上班； 
5、员工活动：每年举行一次大型年会活动并提供丰富的奖品奖金，每年一次带薪公费旅游活动，并且内部有篮球协会、羽毛球协会等文化活动； 
6、节日福利：中秋节、端午节、程序员节、圣诞节等各种节日会举办活动（如圣诞节交换礼物、关怀程序员等），并且提供节日关怀礼物； 
7、其他福利：每年定制专属文化衫，每周提供丰富下午茶（零食、饮料、水果等）。 
【培训晋升调薪】 
1、公司有完善的培训体系，入职培训+导师帮带+不定期邀请行业大牛讲课，为员工提供充分的锻炼机会跟成长空间； 
2、每年1~2次晋升机会、1~2次调薪机会，会结合绩效考评成绩以及能力提升幅度等进行综合考虑。 
【公司文化】 
企业愿景： 实现中国产业带数字化升级，成为全球领先的服装供应链平台 
企业价值观： 用户 创新 卓越 协作 
总部地址： 广州市天河区元岗路310号智汇Park创意园B座505-506（天河客运站地铁站D出口）",广州-天河区-元岗路 智汇Park创意园 B座505-506,搜款网 VVIC,电商平台 / 不需要融资 / 500-2000人,"['电商平台', 'SQL', 'tableau', '项目管理', '口径澄清']",“公司发展稳健，团队成员优秀”
8,高级数据分析师,20k-30k,广州,越秀区,5-10年,本科,全职,"一、岗位描述：1、依据业务特点，及客户的业务场景和问题进行深度挖掘分析独立梳理业务数据口径，构建业务数据指标体系；2、基于不同的业务需求建立客户、产品的分析模型，提出产品、业务改善建议；分析顾客及市场特征，提供相应的运营建议，增强用户的黏性；3、研究数据智能分析在实际场景中的应用；针对具体的业务事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案；4、沉淀分析思路及框架，提炼数据产品需求，与开发团队及客户方等协作并推动数据产品落地；二、任职要求：
1、本科及以上学历，5年以上数据分析经验；2、具有扎实的统计学、数据分析、数据挖掘基础，能独立完成相应数据分析需求；",广州-越秀区-粤能大厦10楼,龙腾出行,"生活服务,旅游｜出行 / 上市公司 / 150-500人","['生活服务', '旅游｜出行', '数据挖掘', '云计算｜云存储']",“行业独角兽，项目有重大突破。”
9,数据分析师,15k-30k,广州,新港,1-3年,大专,全职,工作职责:1、参与粤省心数据运营体系，参与粤省心顶层规划、滚动规划、标准体系及运营体系建设，制定数据标准规范；2、深扎政务业务，提炼挖掘数据运营在政务领域的典型应用场景，形成可落地可推广的产品；3、为合作单位报告撰写提供数据，沉淀自身的技术能力；4、对接粤省心平台标准体系及运营体系，持续对平台升级建设做运营指导和地市需求支撑。任职资格:1、具有3年左右政务大数据平台规划、设计、实施等经验，有政务大数据相关的规划咨询、解决方案、建设实施等案例经验者优先；2、熟悉政务热线、政务服务、社会治理等相关政务领域的核心业务，理解业务运作逻辑；3、具备良好的数据敏感度，有较强的逻辑分析、洞察能力和独立思考能力，对数据驱动促进政务服务、社会治理有深入理解；4、具备良好的报告撰写与演讲能力，能够独立负责相关政务大数据分析报告的编制及成果汇报经验者优先；5、具备良好的产品规划、产品设计能力，能够结合AI、区块链等大数据相关的新兴技术推动产品发展和运营的优先；6、具备良好的沟通能力、团队合作精神及抗压能力，具有强烈的客户服务意识，严谨的工作态度和强烈的责任心。 ,广州-海珠区-广州国际媒体港西港,广东亿迅,"软件服务｜咨询,IT技术服务｜咨询,网络通信 / 不需要融资 / 2000人以上","['Python', 'Hadoop', 'Spark', '政务', '通信运营商']",“国企待遇 平台大 福利好”
