,工作标题,薪资,城市,地区,年限,学历,职限,职位详情,具体地点,公司名字,公司情况,职位标签,公司标签
0,数据分析师,6k-12k,厦门,思明区,1-3年,本科,全职,职位职责：1、负责对日常业务数据的挖掘和分析，形成报告为业务部门决策提供分析方案和行动建议；2、负责数仓建设，编写/调度ETL定时任务；3、建立并持续完善业务数据的统计分析模型，确保其实用性及可衡量性。职位要求：1、本科及以上学历，三年以上数据分析相关从业经验，计算机科学、软件工程、统计学等数据相关专业优先；2、熟练掌握Excel、SQL、Python等；3、具备快速学习和思考能力、优秀的商业分析能力、敏锐的数据洞察力及结构化思维能力；,厦门-思明区-台南路77号汇金国际中心25层,字节跳动,"内容资讯,短视频 / D轮及以上 / 2000人以上","['扁平管理', '弹性工作', '就近租房补贴', '六险一金']","“六险一金,晋升空间大,扁平管理,餐补”"
1,游戏数据分析师,9k-14k,厦门,湖里区,1-3年,本科,全职,"岗位职责：1、负责游戏数据监控，对游戏行为、版本更新及运营活动等进行分析，并产出报告；2、负责新游数据埋点、BI数据接入等工作；3、熟悉广告投放数据监控逻辑，负责广告数据分析；4、负责游戏数据监控和预警，可及时对异常波动点作出反馈。任职要求：
1、计算机、统计学、数学相关专业，2年以上游戏数据相关经验；2、熟练使用Excel、mysql/hive；",厦门-湖里区-厦门市湖里区高林中路535号万科云玺1号楼7层,勇仕,游戏 / 上市公司 / 150-500人,"['数据运营', 'BI']","“奖金,分红,项目好,出国游”"
2,数据分析师,10k-20k,厦门,思明区,1-3年,本科,全职,"岗位职责： 
1、负责使用数据驱动探索性分析技术来创建和评估预测和决策模型，以解决金融行业的各种业务问题。具体内容包括：设计，开发和部署各种统计和决策模型； 
2、积极支持团队负责人对项目分析部分的管理，包括：项目计划，工作流，以及项目具体工作内容，确保客户的各种业务目标被纳入到分析计划中； 
3、必要时与客户积极沟通分析结果，并负责将收集到的客户关注点反馈给团队领导进行解决； 
4、参与对未知领域的探索和研究，对解决方法不断做出创新，并将这些方法应用于产品或工具的改善中。 

任职要求： 
1、本科及以上，硕士优先 
2、数学，统计学，运筹学，金融，经济等相关专业； 
3、有数据分析和建模经验工作经验优先，掌握Python或SAS等工具技能；可接受优秀应届毕业生； 
4、熟悉常用的分析软件，例如：Python、SAS、R等； 
5、性格活泼开朗，善于并勇于沟通，表达能力强。",厦门-思明区-厦门思明区财经大厦(石亭路),中科聚信,数据服务｜咨询 / B轮 / 50-150人,"['科技金融', '金融业', 'Python', 'SQL', '回归算法']",“发展前景好，培训机会多，团队nice，薪酬完善”
3,数据分析类应用系统开发工程师(J10874),12k-20k,厦门,思明区,3-5年,本科,全职,"工作职责: 
1、负责系统的编码开发、测试优化、运行维护、文档编写等工作； 
2、根据不同业务场景，应用数据挖掘、多维数据分析等方法，完成数据分析成果交付工作； 
3、完成上级安排的其他系统开发任务。 
任职资格: 
1、本科及以上学历，2年以上相关工作经验，计算机相关专业； 
2、熟悉JAVA语言，了解各种开源的软件如Spring、Struts、hibernate/ibatis等； 
3、熟悉SQL语言，了解Oracle、GP等主流数据库技术； 
4、有良好的责任感和积极主动性，良好的沟通能力和团队协作能力； 
5、了解python、shell、Linux常用命令等至少一种者优先； 
6、具有数据服务性能调优的相关工作经验者优先。",厦门-思明区-软件园二期观日路38号,建信金科,科技金融 / 不需要融资 / 2000人以上,"['科技金融', 'JAVA', 'Python']",“平台好、团队实力强”
4,数据分析师,10k-15k,厦门,湖里区,3-5年,本科,全职,"岗位职责 
1、负责业务数据指标的梳理，搭建数据看板，监控日常业务数据，评估业务健康度； 
2、完善产品内数据埋点，完善行为流数据，配合开发优化数据抛送策略； 
3、根据业务需求做专题分析报告，定位问题，挖掘机会点，辅助决策，推进产品和运营优化； 
4、负责产品漏斗、用户标签体系及各类用户运营模型的搭建和优化； 
5、参与产品及业务AB测试的设计和结果评估，确保AB测试结果的准确性。 

任职要求： 
1、3年以上数据分析经验，有工具类产品经验者优先； 
2、熟练掌握SQL，python等数据分析工具，逻辑清晰严谨，能够独立分析和解决问题； 
3、具备优秀的沟通能力，良好的现场表达能力，能够独立负责和推进项目。",厦门-湖里区-飞鱼大厦B栋5楼,爱尔卓科技,"工具类产品,软件服务｜咨询,物联网 / 未融资 / 50-150人","['工具类产品', 'Python', '互联网', '产品漏斗', '运营优化']",“团队协作”
5,数据分析岗(J10833),15k-25k,厦门,思明区,3-5年,本科,全职,"工作职责: 
1、负责构建系统相应的数据体系与数据模型； 
2、根据不同业务场景，应用数据挖掘、机器学习等方法，开展多领域的数据分析和建模工作，构建业务模型； 
3、建立并完善模型效果评估体系。 
任职资格: 
1、年龄35周岁以下；本科及以上学历，统计学、金融学、计量经济学、数学、计算机等相关专业； 
2、有扎实的计算机基础理论，至少熟练使用Java、Shell、C、C++等其中一门编程语言；熟练使用SAS、Python等分析工具，熟悉MySQL、GP等主流数据库技术； 
3、熟悉常用的大数据架构和技术框架。熟悉Lambda、Kappa等基本的大数据架构，熟悉Spark、Hadoop、Kafka、Flink、Storm等基本的大数据技术； 
4、有大数据相关项目开发经验优先； 
5、有良好的数据意识。对数据敏感，能根据业务需要进行一定的数据分析； 
6、有良好的责任感和积极主动性，良好的沟通能力以及较强的技术热情。 
7、与第三方公司签订劳动合同。",厦门-思明区-软件园二期观日路38号,建信金科,科技金融 / 不需要融资 / 2000人以上,"['科技金融', 'JAVA', 'C++']",“平台好，薪资福利好，发展前景好”
6,游戏数据分析组长,20k-40k,厦门,集美区,5-10年,本科,全职,"岗位职责： 

 1、制定团队OKR，对关键行动进行追踪，保证部门目标实现； 

 2、负责优化团队流程（埋点、数据清洗、建模、分析、可视化等），提升团队效率及数据应用成熟度； 

 3、为公司不同品类、不同生命周期产品定制数据分析方案，通过分析及挖掘数据协助研发、发行、运营改善优化产品； 

 4、搭建BI可视化报表，包括：实时日报、日/周/月报、监控类报表、系统/玩法分析类报表等； 

 5、针对项目进行专项数据分析，包括并不限于：用户研究、游戏生态、版本效果等； 

 6、制定数据监控和预警方案，对异常波动点可以立即反馈与定位问题； 

 7、对数据进行挖掘与预测，支持策略调整、目标制定，支持玩家行为预测、流失预测、用户画像建立等。 



岗位要求： 

 1、计算机、统计学、数学相关专业，本科及以上学历，3年以上游戏数据相关工作经验； 

 2、具备团队管理经验，有高度的工作责任心，重视团队合作，具有良好的项目推动、沟通协调能力； 

 3、掌握主要数据分析方法，熟练使用数据分析工具（SQL、Excel、Python等），对数据敏感，定量分析能力强； 

 4、有良好的业务理解能力、逻辑思维能力、表达能力，能够独立分析和解决实际业务问题； 

 5、热爱游戏行业，对游戏行业和市场保持关注。",,某知名互联网公司,,['SQL'],“发展”
7,增长策略,15k-25k,厦门,湖里区,5-10年,本科,全职,"岗位职责： 
1、负责稿定的产运工作，对营收指标负责 
2、制定并完善运营策略，挖掘转化场景，实现营收增长 
3、协调各项资源，优化用户支付路径，提升用户付费转化 
4、通过市场及竞品分析，落地支付渠道方案，提升支付成功率 

岗位要求： 
1、本科及以上学历，三年以上增长策略工作经验 
2、有较强的逻辑思维能力及数据分析能力，能够根据数据波动发现并解决问题 
3、熟悉各类营销活动玩法和商业用户分群规则，能够匹配产品特性提出落地性强的方案 
4、具备良好的沟通能力，了解产品技术实现原理，擅于组织协调并推动项目落地",厦门-湖里区-高林中路535号万科云玺1号楼领航27楼,稿定科技,"营销服务｜咨询,软件服务｜咨询 / 不需要融资 / 150-500人","['工具类产品', '内容社区', '策略产品', '营收增长']",“六险一金 弹性打卡”
8,海外数字营销专员,8k-15k,厦门,思明区,不限,本科,全职,"岗位职责： 
1、 制定相关的数字营销策略，实现网站流量增长，促进各相关推广平台销售线索转化； 
2、 负责网站搜索引擎优化（SEO）； 
3、 负责制定Google 广告 & Facebook/Linkedin Ads投放策略，策划执行投放方案； 
4、负责数据分析，协助数字营销关键绩效指标跟踪、测量、报告和分析，及时调整投放策略，优化数字营销效果。 

任职要求： 
1、本科及以上学历，英语CET-6以上，具备优秀的英语阅读和写作能力； 
2、 PPC类型广告运营3年以上经验，有Google广告、Facebook广告项目经历优先，擅长使用Google Analytics等分析工具者优先考虑； 
3、有海外To B行业经验优先考虑； 
4、逻辑清晰，学习能力强，具备良好的团队合作精神、高度的责任感。",厦门-思明区-思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,睿云联,"人工智能,工具,物联网 / 不需要融资 / 150-500人","['人工智能服务', '物联网', '北美市场', '欧洲市场', '海外市场推广']",“公司前景好，成长快，氛围好”
9,中高级产品经理,12k-24k,厦门,集美区,不限,本科,全职,"岗位职责 
1、确保产品的可用性和易用性，以及核心运营目标的达成； 
2、推进并带领产品团队以感受体验+数据驱动的方式开展工作； 
3、负责驾考产品的内容搭建和优化、推广运营策略以及用户增长等方面工作的全面把控； 
4、负责用户标签系统的建立和完善； 
5、通过埋点数据和上报数据，搭建数据可视化体系，满足产品部门的数据跟踪需求、推广运营部门的数据分析和跟踪需求、用户增长运营部门的数据分析和跟踪需求； 

任职资格： 

1、本科及以上学历，计算机、软件相关专业； 
2、有成熟的教育类C端产品1--100经验，并有产品规划和团队建设方法论； 
3、能够使用R语言对数据进行分析和建模，会使用tableau/sql/R进行数据分析和可视化体系搭建； 
5、有好奇心、对产品工作充满热情，并为之付出努力；",厦门-集美区-诚毅北大街软件园三期A01栋7楼704-3,厦门青柠檬信息科技有限公司,教育 / 不需要融资 / 15-50人,"['在线教育', '工具类产品', 'TO C']",“老板认知高 优秀产品可给期权”
